name,source,status
SDFXBPD2,sky130_fd_sc_hd__sdfxbp_2,ok
SDFXTPD1,sky130_fd_sc_hd__sdfxtp_1,ok
SDFXTPD2,sky130_fd_sc_hd__sdfxtp_2,ok
SDFXTPD4,sky130_fd_sc_hd__sdfxtp_4,ok
SDLCLKPD1,sky130_fd_sc_hd__sdlclkp_1,ok
SDLCLKPD2,sky130_fd_sc_hd__sdlclkp_2,ok
SDLCLKPD4,sky130_fd_sc_hd__sdlclkp_4,ok
SEDFXBPD1,sky130_fd_sc_hd__sedfxbp_1,ok
SEDFXBPD2,sky130_fd_sc_hd__sedfxbp_2,ok
SEDFXTPD1,sky130_fd_sc_hd__sedfxtp_1,ok
SEDFXTPD2,sky130_fd_sc_hd__sedfxtp_2,ok
SEDFXTPD4,sky130_fd_sc_hd__sedfxtp_4,ok
TAPD1,sky130_fd_sc_hd__tap_1,ok
TAPD2,sky130_fd_sc_hd__tap_2,ok
TAPVGNDD1,sky130_fd_sc_hd__tapvgnd_1,ok
